Vault;Percent
pancake_CAKE;0.09%
pancake_USDT_BNB;0.00%
ellipsis_EPS_BNB;0%
ellipsis_BTC;0%
goose_EGG_BNB;0.05%
goose_EGG_BUSD;0%
